ID,Level 1,Level 2,Level 3,Level 4,Level 5,Level 6,Level 7,Code,Skill,Category,Subcategory,Overall description,Guidance notes,Level 1 description,Level 2 description,Level 3 description,Level 4 description,Level 5 description,Level 6 description,Level 7 description
1,,,,,5,6,7,ITSP,Strategic planning,Strategy and architecture,Strategy and planning,"Creating and maintaining a strategy to align organisational actions, plans and resources with business objectives.","Activities may include — but are not limited to:

iterating and reviewing strategic plans 
developing plans to drive forward and execute strategy
working with stakeholders to communicate and embed strategic management via objectives, accountabilities and progress monitoring.
",,,,,"Collates information and creates reports and insights to support strategy management processes.
Ensures that all stakeholders are aware of the strategic management approach and timetables. Provides support and guidance to help stakeholders adhere to the approach.
Develops and communicates plans to drive forward the strategy and related change planning.
Contributes to the development of policies, standards and guidelines for strategy development and planning.","Sets policies, standards, and guidelines for how the organisation conducts strategy development and planning.
Leads and manages the creation or review of a strategy that meets the requirements of the business. 
Develops, communicates, implements and reviews the processes which embed strategic management in the operational management of the organisation.","Leads the definition, implementation, and communication of the organisation’s strategic management framework. 
Directs the creation and review of a strategy and plans to support the strategic requirements of the business."
2,,,,,,6,7,ISCO,Information systems coordination,Strategy and architecture,Strategy and planning,Coordinating information and technology strategies where the adoption of a common approach would benefit the organisation.,"This skill is typically applied within a large organisation in which information and technology strategy function is devolved to autonomous units, or within a collaborative enterprise of otherwise independent organisations. 
Examples where a common approach would benefit the organisation include — but are not limited to — shared services, service integration and management, sourcing, supplier management, cloud strategy, enterprise architecture, security.

",,,,,,"Maintains awareness of the global needs of the organisation. 
Promotes the benefits that a common approach to technology deployment will bring to the business as a whole. 
Coordinates and collaborates with others on the promotion, acquisition, development, and implementation of information systems and services.","Establishes the organisation's strategy for managing information and communicates the policies, standards, procedures and methods necessary to implement the strategy. 
Coordinates all aspects of management of the life cycle of information systems. 
Represents the interests of the entire organisation to general management and external bodies on matters relating to information strategy."
3,,,,4,5,6,7,IRMG,Information management,Strategy and architecture,Strategy and planning,"Planning, implementing and controlling the full life cycle management of digitally organised information and records.","Information and records are held in many forms including — but not limited to — digital documents, printed material, microform, e-mail, chats and websites. Information may be structured or unstructured and may be created by internal or external sources.
Specific laws and regulations may require organisations to maintain records of certain business activities and transactions for a minimum period.
Activities may include — but are not limited to:

identifying, classifying, valuing, processing, storing, archiving, destroying information and records
governance of how information is used to support decision-making, business processes and digital services
developing and promoting strategies and policies for the design of information architectures, structures and taxonomies
capturing and maintaining evidence of and information about business activities and transactions in the form of records
implementing systems of cataloguing, metadata, indexing, and classification standards and methods used to organise recorded information
ensuring compliance with legal obligations.
",,,,"Supports the implementation of information and records management policies and standard practice.  
Monitors the implementation of effective controls for internal delegation, audit and control relating to information and records management.  
Reports on the consolidated status of information controls to inform effective decision-making. 
Identifies risks around the use of information. Recommends remediation actions as required.","Ensures implementation of information and records management policies and standard practice.  
Communicates the benefits and value of information, both internal and external, that can be mined from business systems and elsewhere.  
Reviews new change proposals and provides specialist advice on information and records management. Assesses and manages information-related risks.  
Contributes to the development of policy, standards and procedures for compliance with relevant legislation.","Leads and plans activities to communicate and implement information management strategies and policies.  
Develops organisational policies, standards, and guidelines for information and records management. Ensures that the information required to support the organisation is defined, and devises information and records management processes.  
Identifies the impact of statutory, internal or external regulations on the organisation's use of information and develops strategies for compliance.  
Coordinates internal and externally sourced information resources to meet specific business objectives.","Establishes and communicates the organisation's information management strategy. 
Specifies at a strategic level the information needed to support the business strategy and business functions.  
Directs information resources to create value for stakeholders. 
Accountable for compliance with regulations, standards and codes of good practice relating to information and records management"
4,,,,,5,6,7,STPL,Enterprise and business architecture,Strategy and architecture,Strategy and planning,"Aligning an organisation's technology strategy with its business mission, strategy, and processes and documenting this using architectural models.","Enterprise architecture is typically considered across four domains: business, data, applications and infrastructure technologies. It may also include information security or legal and regulatory compliance.
Activities may include — but are not limited to:

translating business strategies and objectives into an operating model
assessing current capabilities and identifying required changes in capabilities to achieve objectives
describing the interrelationships between people, organisation, service, process, data, information, technology and the external environment
creating, iterating, and maintaining architectural models and views embodying the key principles that describe the organisation's future state, and that enable its evolution
implementing enterprise architecture working practices to support and enable iterative/agile working
interpreting business goals and drivers
documenting and communicating constraints, standards and guiding principles necessary to define, assure and govern the required evolution
using architectural models and processes to facilitate changes in the organisation's structure, business processes, information or data, business systems and infrastructure
describing where and why the enterprise will benefit from cloud-based services.
",,,,,"Develops models and plans to drive the execution of the business strategy, taking advantage of opportunities to improve business performance. 
Contributes to creating and reviewing a systems capability strategy which meets the business's strategic requirements. 
Determines requirements and specifies effective business processes, through improvements in technology, information or data practices, organisation, roles, procedures and equipment.","Develops enterprise-wide architecture and processes to embed the strategic application of change in the management of the organisation. 
Leads the creation and review of a systems capability strategy that meets the strategic requirements of the business. Ensures the buy-in of all key stakeholders. 
Captures and prioritises market and environmental trends, business strategies and objectives, and identifies the business benefits of alternative strategies.  Develops and presents business cases for approval, funding and prioritisation of high-level initiatives.
Sets strategies, policies, standards and practices to ensure compliance between business strategies, technology strategies, and enterprise transformation activities.","Directs the development of enterprise-wide architecture and processes to embed the strategic application of change in the management of the organisation. 
Directs the creation and review of an enterprise capability strategy to support the strategic requirements of the business. Identifies the business benefits of alternative strategies.
Ensures compliance between business strategies, enterprise transformation activities and technology directions, setting strategies, policies, standards and practices."
5,,,,4,5,6,,ARCH,Solution architecture,Strategy and architecture,Strategy and planning,Developing and communicating a multi-dimensional solution architecture to deliver agreed business outcomes.,"Activities may include — but are not limited to:

defining the planned operation and maintenance of the solution within a production environment — include changes to services, process, organisation, and operating models as well as technology 
ensuring that existing and planned solution components are compatible with relevant architectures, strategies, policies, standards and practices 
considering requirements for security, privacy and testing of solutions
taking account of relevant architectures, strategies, policies, standards and practices 
identifying appropriate cloud services
developing roadmaps to migrate components to cloud services
developing and communicating an implementation roadmap 
providing guidance and risk-based governance to support solution implementation including managing requests for changes and deviations from specifications.
",,,,"Contributes to the development of solution architectures in specific business, infrastructure or functional areas. 
Identifies and evaluates alternative architectures and the trade-offs in cost, performance and scalability. Determines and documents architecturally significant decisions. 
Produces specifications of cloud-based or on-premises components, tiers and interfaces, for translation into detailed designs using selected services and products. 
Supports projects or change initiatives through the preparation of technical plans and application of design principles. Aligns solutions with enterprise and solution architecture standards (including security).","Leads the development of solution architectures in specific business, infrastructure or functional areas. 
 Leads the preparation of technical plans and ensures that appropriate technical resources are made available. Ensures that appropriate tools and methods are available, understood and employed in architecture development.
Provides technical guidance and governance on solution development and integration. Evaluates requests for changes and deviations from specifications and recommends actions.
Ensures that relevant technical strategies, policies, standards and practices (including security) are applied correctly.","Leads the development of architectures for complex solutions ensuring consistency with agreed requirements. 
Establishes policies, principles and practices for the selection of solution architecture components. 
Manages trade-offs and balances functional, service quality and systems management requirements within a significant area of the organisation. Communicates proposed decisions to stakeholders.
Coordinates and manages the target architecture across multiple projects or initiatives.  Maintains a stable, viable architecture  and ensures consistency of design and adherence to appropriate standards across multiple projects or initiatives.",
6,,,,,5,6,7,INOV,Innovation,Strategy and architecture,Strategy and planning,"Identifying, prioritising, incubating and exploiting opportunities provided by information, communication and digital technologies.","This skill focuses on a systematic, organisational approach to innovation. It is not describing personal behaviours, such as creativity.
Activities may include — but are not limited to:

developing and implementing processes, tools and infrastructures to support innovation
implementing innovation practices to support iterative/agile working
facilitating internal and external communities, employees, commercial partners, customers, users and other stakeholders in the innovation process
providing a framework for governance, monitoring and reporting on the innovation process.
",,,,,"Manages the innovation pipeline and executes innovation processes. 
Develops and adapts innovation tools, processes and infrastructures to drive the process of innovation. Identifies resources and capabilities needed to support innovation. 
Encourages and motivates innovation communities, teams and individuals to share creative ideas and learn from failures. 
Manages and facilitates the communication and open flow of creative ideas between interested parties and the set-up of innovation networks and communities.","Obtains organisational commitment to innovation. 
Develops organisational capabilities to drive innovation. 
Leads and plans the development of innovation capabilities and implementation of innovation processes, tools and frameworks. 
Leads the communication and an open flow of creative ideas between interested parties and the set-up of innovation networks and communities.","Leads development of a culture that encourages innovation, risk-taking and collaboration. 
Embeds innovation processes throughout business units and links strategy execution with innovation. 
Aligns organisational and individual objectives, measures and rewards with innovation."
7,,,,4,5,6,,EMRG,Emerging technology monitoring,Strategy and architecture,Strategy and planning,"Identifying and assessing new and emerging technologies, products, services, methods and techniques.","Activities may include — but are not limited to:

assessing relevance and potential impacts — which may be threats or opportunities
communicating the impact of emerging technologies. 

Assessments may relate to business enablers, cost, performance or sustainability",,,,"Supports monitoring of the external environment and assessment of emerging technologies. 
Contributes to the creation of reports, technology roadmapping and the sharing of knowledge and insights.","Monitors the external environment to gather intelligence on emerging technologies. 
Assesses and documents the impacts, threats and opportunities to the organisation. 
Creates reports and technology roadmaps and shares knowledge and insights with others.","Plans and leads the identification and assessment of emerging technologies and the evaluation of potential impacts, threats and opportunities.
Creates technology roadmaps that align organisational plans with emerging technology solutions. Engages with, and influences, relevant stakeholders to obtain organisational commitment to technology roadmaps. 
Develops organisational guidelines for monitoring emerging technologies. 
Collaborates with internal and external parties to facilitate intelligence gathering.",
8,,2,3,4,5,6,,RSCH,Research,Strategy and architecture,Strategy and planning,"Systematically creating new knowledge by data gathering, innovation, experimentation, evaluation and dissemination.","Activities may include — but are not limited to:

determining research goals and the methods by which the research will be conducted
actively participating in a community of researchers
communicating formally and informally through digital media, conferences, journals, books and seminars.

The Research skill defined in SFIA is used for creating new knowledge including — but not limited to — commercial research and development or academic institutions.
Because of its name, this skill can be confused with general search and investigation into a topic of interest. In most cases, general investigations are covered by  responsibilities described by the SFIA generic attributes. Many of the SFIA professional skills also make reference to investigation or similar activity.",,"Within given research goals, assists in selection and review of credible and reliable resources. 
Searches for relevant material using specialised websites and sources, reads relevant articles to update knowledge of the relevant field. 
Reports on work carried out and may contribute sections of publication-quality material. 
Curates, under guidance, a personal collection of relevant material.","Within given research goals, builds on and refines appropriate outline ideas for research, including evaluation, development, demonstration and implementation. 
Applies standard methods to collect and analyse quantitative and qualitative data. Creates research reports to communicate research methodology, findings and conclusions. 
Contributes sections of publication-quality material. 
Uses available resources to update knowledge of any relevant field and curates a personal collection of relevant material. Participates in research communities.","Builds on and refines appropriate outline ideas for the evaluation, development, demonstration and implementation of research. 
Contributes to research goals and funding proposals. Collects and analyses qualitative and quantitative data as required. 
Contributes to research plans and identifies appropriate opportunities for publication and dissemination of research findings. Makes an active contribution to research communities.
Presents papers at conferences, contributes significant sections of publication-quality material, and presents reports to clients.","Agrees research goals and methods and performs research projects to generate original ideas. 
Attracts and manages external research funding. Maintains a strong external network within own area of specialism. 
Provides advice and guidance on performing research. Selects, adopts and adapts data collection tools and techniques.  Develops, reviews and constructively criticises the research and ideas of others. Shares practical demonstrations of research findings.
Takes part in professional activities outside own employing organisation. Presents papers at significant conferences, writes articles for specialist journals, and presents reports to key stakeholders.","Develops the organisation's research policy and supervises the work of research functions. 
Promotes activities externally, attracts and manages significant portfolios of research funding. 
Sets research goals and authorises research proposals. Leads strategic and/or interdisciplinary research projects. Maintains a strong external network reaching beyond own immediate area of specialism. 
Takes a leading part in professional activities outside own employing organisation. Presents keynote papers at major conferences, writes articles for  high impact journals, and presents reports to major clients.",
9,,,,,5,6,,DEMM,Demand management,Strategy and architecture,Strategy and planning,Analysing and proactively managing business demand for new services or modifications to existing service features or volumes.,"Activities may include — but are not limited to:

collaborating with the business to prioritise demand to improve business value
developing and communicating insights into patterns of demand
performing what-if analyses and scenario planning to develop insights and proposals to improve business value
proposing responses to meet both short-term and long-term demand and facilitating decision-making and planning
integrating demand analysis and planning with complementary strategic, operational and change planning processes.
",,,,,"Implements demand management analysis and  planning activities. 
Provides advice to help stakeholders adopt and adhere to the agreed demand management approach. Manages the process of integrating demand management  with complementary strategic, operational and change management processes. 
Maintains a register of business requests and routes requests to the right place. Reports on the status of each request.
Reviews new business proposals and provides advice on demand issues. Works with business representatives to agree and implement short-term and medium-term modifications to demand.","Defines the approach and sets policies for discovering, analysing, planning, controlling and documenting demand for services and products. 
Organises scoping and business priority setting for strategic business changes involving business policy-makers and direction setters. 
Engages with and influences senior stakeholders to improve the business value delivered from new or existing services and products. 
Leads the development of demand management capabilities. Leads the integration of demand management with complementary strategic, operational and change management processes.",
10,,,,4,5,6,,INVA,Investment appraisal,Strategy and architecture,Strategy and planning,Assessing the attractiveness of possible investments or projects.,"Activities may include — but are not limited to:

selecting and using appropriate techniques to compare financial investments and returns
using recognised investment appraisal techniques to compare investment and returns include payback period, accounting rate of return, discounted cash flow (net present value and internal rate of return)
collecting data using appropriate top-down or bottom-up approaches
including other factors into the appraisal approach — such as legal considerations, environmental or social impact, operational benefits, risk
developing scoring methods to allow for subjective benefits or dis-benefits and to aggregate the results of multiple appraisal methods to help compare options
documenting and presenting the results of investment appraisals
establishing investment appraisal as a tool for selecting projects/initiatives for further investigation.
identifying possible sources of funding and the impact on the investment appraisal.
",,,,"Develops and documents investment appraisals for a range of different projects. 
Identifies suitable appraisal techniques based on the characteristics of a project. 
Collects the information required to create an investment appraisal in collaboration with internal and external stakeholders. Presents findings of investment appraisals to selected stakeholders. 
Refines and maintains investment appraisals.","Advises on investment appraisal approaches and tailors organisational standards to the context of portfolios/programmes.  
Leads investment appraisal activities for simple portfolios and programmes and complex projects.","Develops organisational policies, standards, and guidelines for investment appraisals. 
Leads activities to establish consistent appraisal across the component projects and programmes within a portfolio. 
Reviews investment appraisals for high-value initiatives to assure their quality. 
Leads investment appraisal activities for complex programmes of work and portfolios.",
11,,,,4,5,6,,FMIT,Financial management,Strategy and architecture,Strategy and planning,Supporting the effective use and control of financial resources.,"This skill usually applies to specialist financial management roles — not to managers responsible for their own operational or project budgets.
Financial management needs to be aligned with business strategies and to working practices in areas including — but not limited to — governance, risk management, portfolio, programme and project management, asset management.
Activities may include — but are not limited to:

financial management, control, and stewardship of assets and resources
supporting decision-making
budgeting, forecasting, and accounting for financial resources
financial management for consumption based costs such as cloud-based services
implementing financial management practices to support iterative/agile working
developing service, projects and component cost models
defining charging models for the provision of services 
applying accounting standards and policies and ensuring compliance with governance, legal and regulatory requirements.

",,,,"Monitors and maintains financial records to agreed requirements for compliance and audit. 
Assists with identifying and calculating process, service, project and component costs for financial planning and budgeting. 
Collates required financial data and reports for analysis and to facilitate decision-making.","Advises on financial planning, budgeting, costing, accounting and charging using recognised accounting practices and standards. 
Develops financial plans and forecasts. Monitors and manages expenditure and examines areas where budgets and expenditure exceed agreed tolerances. 
Contributes to the definition and operation of effective financial control and decision-making. 
Analyses actual expenditure, examines variances, and advises on options in the use of available budget.","Develops organisational policies, standards, and guidelines for financial management to support the execution of business strategy. 
Promotes commercial awareness and drives adoption of and adherence to financial management policies and standards. 
Sets, negotiates, agrees and manages all financial budgets and targets, ensuring adequate funding. 
Leads activities to analyse financial performance and instigates required improvements in the use of available budget to meet real needs.",
12,,,3,4,5,6,,MEAS,Measurement,Strategy and architecture,Strategy and planning,Developing and operating a measurement capability to support agreed organisational information needs.,"Measurement can be applied to organisations, projects, processes, and work products.
Activities may include — but are not limited to:

planning, implementation, and control of activities to measure attributes of processes, products, and services
using measures to assess performance, progress, and provide indications and insights to actual or potential problems, issues, and risks
identifying requirements for measurement
implementing measurement to support iterative/agile working practices
selecting measures and measurement scales, setting target values and thresholds
establishing data collection and analysis methods — including automation.
",,,"Applies standard techniques to support the specification of measures and the collection and maintenance of data for measurement. 
Generates, produces and distributes reports. 
Uses measurement tools for routine analysis of data. 
Identifies and implements improvements to data collection methods.","Identifies and prioritises appropriate measures, scales, and targets. 
Supports projects, functions or teams in the development of measurement methods. 
Specifies base and derived measures which support agreed information needs. Specifies how to collect and store the data for each required measure. Provides guidance on collection of data. 
Designs reports and reporting formats.","Establishes measurement objectives and the scope of measurement for functions, teams and projects. 
Plans and implements improvements to measurement capability. Provides advice and guidance for effective use of measures and measurement.  
Selects measures appropriate to the context and organisational objectives. Reviews data collection and storage mechanisms to support measurement.
Contributes to organisational policies, standards, and guidelines for measurement.","Leads the development of organisational capabilities for measurement (including automation). 
Creates the measurement framework and aligns measurement objectives with business objectives. 
Develops organisational policies, standards, guidelines for measurement. 
Provides resources to ensure adoption and adherence to policies and standards.",
13,,,,4,5,6,,SUST,Sustainability,Strategy and architecture,Strategy and planning,"Providing advice, assistance and leadership to enable the organisation to minimise negative environmental impact.","Activities may include — but are not limited to:

developing policies, standards and guidelines to minimise the negative environmental impact of factors such as — but not limited to — hardware, software, networks, storage, power supply, care, maintenance and disposal of assets, paper, packaging or transport
advising on regulations and standards
benchmarking and establishing metrics and dashboards
communicating and promoting sustainability policies and programmes.
",,,,"Assesses and reports on how different tactical decisions affect sustainability. 
Evaluates factors and risks (political, legislative, technological, economic, social) that impact on operational processes and strategic direction.
Evaluates and reports on the implementation of sustainability measures in specific areas.","Provides expert advice and guidance on planning, designing and implementing sustainability solutions. 
Evaluates and selects sustainability methods, tools, and practices to be used in line with agreed policies and standards. 
Identifies and recommends improvements to the organisation's approach to sustainability.","Develops and promotes organisational strategies, policies, standards, and guidelines for sustainability. 
Leads the introduction and use of sustainability techniques, methodologies and tools.",
